238	[[[2052.6    1032.6001  695.64  ]]]
239	[[[2051.4001 1032.6001  700.    ]]]
240	[[[2050.2002  1033.8      926.72003]]]
241	[[[2052.6  1035.    927.88]]]
242	[[[2051.4001  1033.8      926.56006]]]
243	[[[2050.2002 1033.8     920.64  ]]]
244	[[[2052.6    1032.6001  700.16  ]]]
245	[[[2050.2002  1032.6001   926.80005]]]
246	[[[2053.8 1037.4  925.6]]]
247	[[[2052.6    1030.2001  697.76  ]]]
248	[[[2055.      1035.       923.83997]]]
249	[[[2052.6    1032.6001  700.04  ]]]
250	[[[2052.6    1032.6001  699.44  ]]]
251	[[[2051.4001 1032.6001  699.96  ]]]
252	[[[2055.   1035.    924.48]]]
253	[[[2046.6001 1033.8     923.52  ]]]
254	[[[2051.4001 1032.6001  699.92  ]]]
255	[[[2050.2002  1032.6001   920.56006]]]
256	[[[2049.     1032.6001  697.56  ]]]
257	[[[2046.6001 1033.8     923.76  ]]]
258	[[[2049.      1037.4      923.83997]]]
259	[[[2050.2002 1032.6001  700.16  ]]]
260	[[[2053.8  1035.    923.96]]]
261	[[[2050.2002  1035.       926.80005]]]
262	[[[2049.   1033.8   926.24]]]
263	[[[2051.4001 1032.6001  699.36  ]]]
264	[[[2050.2002 1032.6001  695.28  ]]]
265	[[[2049.      1033.8      925.83997]]]
266	[[[2050.2002 1032.6001  695.12  ]]]
267	[[[2049.     1032.6001  936.64  ]]]
268	[[[2050.2002 1035.      697.56  ]]]
269	[[[2049.     1032.6001  695.4   ]]]
270	[[[2050.2002 1032.6001  694.6   ]]]
271	[[[2047.8     1033.8      926.56006]]]
272	[[[2050.2002 1033.8     926.32  ]]]
273	[[[2049.     1032.6001  920.4   ]]]
274	[[[2047.8    1036.2001  923.6   ]]]
275	[[[2049.  1033.8  925.6]]]
276	[[[2049.     1032.6001  695.36  ]]]
277	[[[2049.     1032.6001  695.    ]]]
278	[[[2052.6    1036.2001  924.28  ]]]
279	[[[2047.8    1032.6001  919.96  ]]]
280	[[[2047.8 1033.8  926. ]]]
281	[[[2049.     1032.6001  699.36  ]]]
282	[[[2047.8  1031.4   697.52]]]
283	[[[2050.2002 1032.6001  695.04  ]]]
284	[[[2050.2002 1035.      697.    ]]]
285	[[[2050.2002 1032.6001  699.16  ]]]
286	[[[2050.2002 1033.8     699.32  ]]]
287	[[[2051.4001 1035.      697.12  ]]]
288	[[[2050.2002 1032.6001  694.52  ]]]
289	[[[2050.2002  1035.       926.80005]]]
290	[[[2050.2002  1035.       926.92004]]]
291	[[[2049.  1033.8  920. ]]]
292	[[[2050.2002 1033.8     699.28  ]]]
293	[[[2050.2002 1036.2001  697.4   ]]]
294	[[[2049.      1030.2001   922.83997]]]
295	[[[2049.   1033.8   699.36]]]
296	[[[2050.2002 1033.8     694.36  ]]]
297	[[[2047.8  1033.8   920.32]]]
298	[[[2049.      1035.       925.92004]]]
299	[[[2049.   1035.    926.24]]]
300	[[[2050.2002 1036.2001  697.44  ]]]
301	[[[2049.   1033.8   699.36]]]
302	[[[2049.  1033.8  699.4]]]
303	[[[2047.8  1033.8   920.28]]]
304	[[[2049.  1033.8  699.6]]]
305	[[[2050.2002 1033.8     699.52  ]]]
306	[[[2046.6001 1033.8     696.64  ]]]
307	[[[2051.4001 1031.4     696.56  ]]]
308	[[[2047.8  1033.8   925.68]]]
309	[[[2049.   1033.8   699.28]]]
310	[[[2049.   1033.8   694.76]]]
311	[[[2049.  1033.8  699.4]]]
312	[[[2047.8  1033.8   919.76]]]
313	[[[2052.6  1035.    924.12]]]
314	[[[2047.8  1035.    925.44]]]
315	[[[2049.   1033.8   699.36]]]
316	[[[2047.8  1033.8   919.84]]]
317	[[[2049.     1032.6001  694.44  ]]]
318	[[[2049.     1032.6001  699.52  ]]]
319	[[[2049.   1033.8   926.32]]]
320	[[[2051.4001 1033.8     697.32  ]]]
321	[[[2049.     1032.6001  699.56  ]]]
322	[[[2047.8    1032.6001  919.64  ]]]
323	[[[2049.     1032.6001  699.32  ]]]
324	[[[2049.   1033.8   926.48]]]
325	[[[2047.8 1033.8  920. ]]]
326	[[[2047.8    1032.6001  936.48  ]]]
327	[[[2046.6001  1036.2001   923.04004]]]
328	[[[2047.8     1032.6001   919.72003]]]
329	[[[2047.8    1032.6001  919.96  ]]]
330	[[[2049.     1032.6001  694.6   ]]]
331	[[[2047.8     1033.8      926.56006]]]
332	[[[2049.      1033.8      926.56006]]]
333	[[[2049.     1032.6001  694.72  ]]]
334	[[[2049.     1032.6001  694.72  ]]]
335	[[[2047.8    1032.6001  919.88  ]]]
336	[[[2049.     1032.6001  699.52  ]]]
337	[[[2047.8     1033.8      926.16003]]]
338	[[[2047.8  1033.8   925.76]]]
339	[[[2050.2002 1032.6001  694.8   ]]]
340	[[[2047.8  1033.8   926.08]]]
341	[[[2047.8    1032.6001  925.76  ]]]
342	[[[2047.8  1033.8   920.12]]]
343	[[[2050.2002 1032.6001  694.32  ]]]
